source,target,weight
MXMERTR3,MXPARDN1,10
BXZFRTR3,GIALRDN1,10
BXEURTR3,GIALRDN1,10
BXGARPS1,BXGARPS2,10
BXZFRTR3,NAAYRAG1,10
BXZFRTR3,NAAYRAG2,10
BXZFRTR3,GIESRDN1,10
BXEURTR3,GIESRDN1,10
BXEURTR3,BXZFRRR1,1
MXMERDN7,MXMERTV1,1
MXMERDN8,MXMERTV1,1
MXJCRTR3,MXMERDN2,1
MXMERDN7,MXMETRR1,1
MXMERDN8,MXMETRR1,1
BXEURTR3,BXZFRRR2,1
BXZFRTR3,ROU13-HBAR02,1
BXZFRTR3,SSDMRAG1,10
MXMERDN1,MXMERTR3,1
MXMERDN1,MXMERPS2,10
MXMERDN2,MXMERPS1,10
MXPARDN3,MXPARDN4,10
MXJCRDN4,MXJCRTV1,10
BXGARDN1,BXZFRPI3,1
MXMERDN8,MXMERTV1,10
BXEURDN1,BXEURDN2,10
BXEURTR3,GICARAG2,10
BXZFRTR3,GICARAG2,10
GCTGRDN1,GCTGRDN2,10
MXCORRR1,ROU14-HMAD01,1
MXECRRR1,ROU14-HMAD11,1
MXJCRRR4,MXJCRTR3,1
MXMERDN5,MXMERDN6,10
SEPIRCS1,GRVERTR2,10
SEPIRCS1,SEECRTR2,10
SEPIRCS2,GRVERTR2,10
SEPIRCS2,SEECRTR2,10
SEPIRPS1,GRVERTR2,10
SEPIRPS1,SEECRTR2,10
SEPIRPS2,GRVERTR2,10
SEPIRPS2,SEECRTR2,10
VXQURCS2,VXQURDN2,10
CAJERAG1,GRVERTR2,10
IBLIRAG1,IBLIRAG2,10
MUNIRAG1,VXQURTR2,10
MUNIRAG2,VXQURTR2,10
VAFORDN1,VAFORDN2,10
VXQURDN1,VXQURDN2,10
BXEURTR3,BXPCRDN2,10
MASARDN1,GRVERTR2,10
MXJCRTR3,MXMERTR3,1
BXEURPI3,BXPCRDN2,10
BXZFRTR3,LXRORAG1,10
BXZFRTR3,LXRORAG2,10
MXJCRTR3,MXULRDN2,10
MXJCRTR3,VARERDN2,10
MXJCRTR3,VARERDN1,10
ALDORAG1,ALDORAG2,0.1
BXEURPI3,BXGARDN2,1
MXJCRTR3,SAPORAG2,10
MXJCRTR3,SAPORAG1,10
ALDORAG1,ALDORAG2,1
BXEURPI3,BXGARDN2,10
VXQURDN1,VXQURPS2,10
VXQURDN2,VXQURPS2,10
BXEURPI3,BXZFRDN2,10
AVRERAG1,VAFORTR2,10
AVRERAG2,VAFORTR2,10
AVRERAG2,MXJCRTR3,10
AVRERAG1,MXJCRTR3,10
MXJCRTR3,MXPARDN2,1
ABCDEFG1,SEECRTR2,10
ABCDEFG1,GRVERTR2,10
ABCDEFG2,SEECRTR2,10
ABCDEFG2,GRVERTR2,10
MXJCRTR3,MXMERDN4,1
MXJCRTR3,MXMERDN4,10
MXMERDN3,MXMERTR3,10
BXZFRTR3,GIADRDN1,10
BXEURTR3,GIADRDN1,10
VAFORCS1,VAFORCS2,10
VXQURCS1,VXQURDN2,10
MXMERTR3,TOEGRAG1,1
BXEURTR3,BXZFRDN2,1
MXMERTR3,MXPARDN1,1
AVRERAG2,MXJCRTR3,1
ABFGRAG1,ABFGRAG2,10
BXEURDN1,BXZFRPI3,10
BXEURDN2,BXEURPI3,10
GCGORAG1,GCGORAG2,10
BXEURDN1,BXZFRTR3,10
BXEURDN2,BXEURTR3,10
ZAPCRAG1,ZAPCRAG2,10
VAFORCS1,VAFORDN2,10
VAFORCS2,VAFORDN1,10
TOEGRAG1,TOEGRAG2,1
BXGARCS1,BXGARDN2,10
BXGARCS2,BXGARDN1,10
MXMERCS2,MXMERDN1,10
VXQURCS1,VXQURDN1,10
LEFRRAG2,MXJCRTR3,10
